name,image,phoneNumber,openingHours,categories,latitude,longitude,address,city,postalCode
"Hospital Veterinària del Mar","https://lh5.googleusercontent.com/p/AF1QipPFN3UXiuncdDaqV5jWXR_I119iVk1zZesjqcAf=w501-h240-k-no","930217812","Open 24h","vet",41.3926085476975,2.1897713304913746,"Carrer de la Marina, 69, Sant Martí","Barcelona","08005"
"AniCura Glòries Hospital Veterinari","https://lh5.googleusercontent.com/p/AF1QipPIbOfebkYidI_HUlFRWe0aJHG-4yKDQsjBOzyo=w408-h271-k-no","932460805","Open 24h","vet",41.39335972805441,2.176112984461523,"Carrer de Bailèn, 28, local, L'Eixample","Barcelona","08010"
"Clínica Veterinària Family Vet","https://lh5.googleusercontent.com/p/AF1QipMsRLTXFqN4LHX7qqPyBeCYc-Axc6VG4lu9czHo=w408-h287-k-no","637844398","Mon: 10:00-20:00; Tue: 10:00-20:00; Wed: 10:00-20:00; Thu: 10:00-20:00; Fri: 10:00-20:00; Sat: Closed; Sun: Closed","vet",41.40408936685165,2.1700541691182424,"Carrer del Rosselló, 395, Local 6, Gracia","Barcelona","08025"
"Lovedogs","https://lh5.googleusercontent.com/p/AF1QipPpFV7fHqH2nN30NR4XUq_z25oLPwxTy-wQ1Kwi=w408-h402-k-no","936738159","Monday, 10 AM–2 PM / 4:30–8 PM; Tuesday, 10 AM–2 PM / 4:30–8 PM; Wednesday, 10 AM–2 PM / 4:30–8 PM; Thursday, 10 AM–2 PM / 4:30–8 PM; Friday, 10 AM–2 PM, 4:30–8 PM; Saturday, 10 AM–2 PM; Sunday, Closed","grooming",41.3999754315084,2.1689067897555434,"Pg. de St. Joan, 103, L'Eixample","Barcelona","08037"
"Woody's Salon","https://lh5.googleusercontent.com/p/AF1QipNhI7KGnCB0wQ2_gPirnb4yhpWlUlWN3K7EuwSM=w408-h500-k-no","931301463","Monday, 9 AM–8 PM; Tuesday, 9 AM–8 PM; Wednesday, 9 AM–8 PM; Thursday, 9 AM–8 PM; Friday, 9 AM–8 PM; Saturday: Closed; Sunday: Closed","grooming",41.39063195326468,2.1549908812632035,"C/ de Muntaner, 134, Eixample","Barcelona","08036"
"Waku-Waku Mascotas Paralelo 180","https://lh5.googleusercontent.com/p/AF1QipM-dKHHCFtxcANihpIQcuxuLda9dFqGyYNHbAa2=w426-h240-k-no","","Monday, 10 AM–9 PM; Tuesday, 10 AM–9 PM; Wednesday: 10 AM–9 PM; Thursday: 10 AM–9 PM; Friday: 10 AM–9 PM; Saturday: 10 AM–9 PM; Sunday: Closed","grooming",41.37648030914956,2.154647558514288,"Av. del Paral·lel, 180, L'Eixample","Barcelona","08015"
"Educación Canina & Cuidadores de Animales -MAMADOG","https://lh5.googleusercontent.com/p/AF1QipM9y334SnFkgzaoM9VRwHavWJpT3atn82DqKWG-=w564-h240-k-no","662335436","Monday: 9 AM - 8 PM; Tuesday: 9 AM - 8 PM; Wednesday: 9 AM - 8 PM; Thursday: 9 AM - 8 PM; Friday: 9 AM - 8 PM; Saturday: 9 AM - 8 PM; Sunday: 9 AM - 8 PM","trainer",41.40036220878578,2.174703712735674,"Carrer d'Aragó, 412, L'Eixample","Barcelona","08013"
"Boncan Educació Canina","https://lh5.googleusercontent.com/p/AF1QipOjJFUNQt8UUOrqDyrlKYYmHtGoV352mTHXhBmj=w408-h250-k-no","687728722","Monday: 8 AM - 8 PM; Tuesday: 8 AM - 8 PM; Wednesday: 8 AM - 8 PM; Thursday: 8 AM - 8 PM; Friday: 8 AM - 8 PM; Saturday: Closed; Sunday: Closed","trainer",41.904808377788235,2.229396817679128,"Passatge de Sant Bernat, 6, Ciutat Vella","Barcelona","08001"
"Dog Care Barcelona","https://lh5.googleusercontent.com/p/AF1QipPGZeUVXzQ-2UF1M3Gqpq32ZIr52MPvTUR00z7p=w426-h240-k-no","610399468","Monday: 9 AM - 11 PM; Tuesday: 9 AM - 11 PM; Wednesday: 9 AM - 11 PM; Thursday: 9 AM - 11 PM; Friday: 9 AM - 11 PM; Saturday: 10:30 AM - 8 PM; Sunday: 11 AM - 6 PM","petsitter",41.386736533646406,2.1723496522853387,"Pl. de la Vila de Madrid, Ciutat Vella","Barcelona","08002"
"Passejador i cangur de mascotes TORACANINA","https://lh5.googleusercontent.com/p/AF1QipN1HgYYcgQTZviwX2B6hkBnzhaB0LZ6WHaoTMij=w408-h272-k-no","623448912","Open 24h","petsitter",41.38403185857433,2.1754395570255816,"Carrer de Ferran, Ciutat Vella","Barcelona","08002"
"Dogpark","https://lh5.googleusercontent.com/p/AF1QipPvMx6WCmxlmPpkiYVA-tPi1tnxXcVs-vvbDtHN=w408-h544-k-no","614182725","Monday: 8 AM - 8 PM; Tuesday: 8 AM - 8 PM; Wednesday: 8 AM - 8 PM; Thursday: 8 AM - 8 PM; Friday: 8 AM - 8 PM; Saturday: Closed; Sunday: Closed","boarding",41.38706314991457,2.154910030687229,"Carrer de València, 121, local 3, Eixample","Barcelona","08011"
